scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,original_best_purity,original_pure_point_fraction,original_has_pure_segment,ibsp_best_purity,ibsp_pure_point_fraction,ibsp_has_pure_segment,pure_ibsp_segment_count,has_pure_reliable_ibsp,has_pure_sampled_ibsp,sam2_best_iou
scene0169_01,2037,chair,2078,1.0,1.0,1.0,True,1.0,1.0,True,22,False,False,0.0
scene0169_01,2038,chair,2034,0.8414015675426464,1.0,1.0,True,1.0,0.995575221238938,True,25,True,False,0.0
scene0169_01,2040,chair,1317,0.9641288433382138,1.0,1.0,True,1.0,0.9924069855732726,True,8,False,False,0.0
scene0169_01,2041,chair,1251,0.8669438669438669,1.0,1.0,True,1.0,0.5579536370903277,True,13,False,False,0.0
scene0169_01,4010,table,11273,0.8972009750357233,1.0,1.0,True,1.0,0.9981371418433425,True,60,True,False,0.6879381194102007
scene0169_01,5012,door,6334,0.9575805184603299,1.0,1.0,True,1.0,0.9988948531733501,True,53,True,False,0.23149546827794562
scene0169_01,7008,cabinet,10643,0.91592082616179,1.0,1.0,True,1.0,0.9900404021422531,True,50,True,False,0.013429392991436787
scene0169_01,7022,cabinet,2425,0.7590316573556797,1.0,1.0,True,1.0,0.9389690721649484,True,10,True,False,0.04461298237787196
scene0169_01,15017,picture,917,0.8003748828491096,1.0,1.0,True,0.9782608695652174,0.12540894220283533,True,2,True,False,0.048482293423271504
scene0169_01,16001,window,14468,0.935531846104106,1.0,1.0,True,1.0,0.9939176112800664,True,153,True,True,0.24869320466425412
scene0169_01,16013,window,3340,0.07588878760255241,1.0,1.0,True,1.0,0.9131736526946108,True,28,True,True,0.31061776061776064
scene0169_01,48039,backpack,1150,0.5832414553472988,1.0,1.0,True,1.0,0.84,True,10,True,False,0.0
scene0169_01,52018,whiteboard,15837,0.7978040957315569,1.0,1.0,True,1.0,0.6749384353097178,True,104,True,True,0.1572573132103596
scene0169_01,56009,trash can,2436,0.9392446633825944,1.0,1.0,True,1.0,0.9954844006568144,True,15,True,True,0.48543046357615893
scene0207_01,2022,chair,2391,0.9743276283618582,1.0,1.0,True,1.0,0.9907988289418653,True,20,True,False,0.0009044936891008511
scene0207_01,4014,table,6158,0.9572234409276089,1.0,1.0,True,1.0,0.9915556999025658,True,35,True,True,0.7084438241451501
scene0207_01,4043,table,2356,0.810672514619883,1.0,1.0,True,1.0,0.9528862478777589,True,11,False,False,0.0007409846863164828
scene0207_01,5008,door,1855,1.0,1.0,1.0,True,1.0,0.9902964959568733,True,7,False,False,0.0
